X [s],L_Quad: EMG 1 [Volts],L_Hamstrings: EMG 2 [Volts],L_AnteriorTibialis: EMG 3 [Volts],L_Calf: EMG 4 [Volts],R_Quad: EMG 5 [Volts],R_Hamstrings: EMG 6 [Volts],R_AnteriorTibialis: EMG 7 [Volts],R_Calf: EMG 8 [Volts],L_Quad: Acc 1.X [g],L_Quad: Acc 1.Y [g],L_Quad: Acc 1.Z [g],L_Hamstrings: Acc 2.X [g],L_Hamstrings: Acc 2.Y [g],L_Hamstrings: Acc 2.Z [g],L_AnteriorTibialis: Acc 3.X [g],L_AnteriorTibialis: Acc 3.Y [g],L_AnteriorTibialis: Acc 3.Z [g],L_Calf: Acc 4.X [g],L_Calf: Acc 4.Y [g],L_Calf: Acc 4.Z [g],R_Quad: Acc 5.X [g],R_Quad: Acc 5.Y [g],R_Quad: Acc 5.Z [g],R_Hamstrings: Acc 6.X [g],R_Hamstrings: Acc 6.Y [g],R_Hamstrings: Acc 6.Z [g],R_AnteriorTibialis: Acc 7.X [g],R_AnteriorTibialis: Acc 7.Y [g],R_AnteriorTibialis: Acc 7.Z [g],R_Calf: Acc 8.X [g],R_Calf: Acc 8.Y [g],R_Calf: Acc 8.Z [g]
15.4,-6.4118400000000004e-06,-2.380098e-05,-3.387194e-05,-1.554286e-05,-1.064164e-05,-3.121998e-06,-5.337608e-06,-1.8832719999999998e-05,-1.8945434328358226,1.1926397014925325,1.7178343283582096,1.9832894029850803,1.1297488059701455,1.9584520895522415,-1.4686156716417904,1.0993891044776127,-1.9959747761194033,-1.8136125373134353,0.9339830597014981,-2.047979104477613,-2.035899104477613,0.9754091194029839,1.4506401492537262,-1.8850995522388063,1.07690146268656,1.4923088059701455,-1.5456965671641774,1.4507561194029839,1.5782229850746288,1.3126471641790973,-1.5324083582089518,-1.65164
15.433333333333334,-9.835965333334764e-06,-3.0335940000000954e-05,-3.11752133333325e-05,-2.1943493333334287e-05,-1.9022939999952299e-07,-4.375269999999762e-06,-1.2644673333330352e-05,-5.270465333333691e-06,-1.9259000000000006,0.9903116666666644,1.8785658333333346,-1.7469724999999996,0.9621117499999988,-0.3491241666667557,-1.7506641666666647,1.099414166666667,2.0303,1.9034116666666694,1.0450275000000009,-2.0373525000000003,-1.7758466666666675,1.16017,1.5187016666666655,-1.8584275000000003,0.7019454166666664,1.7721549999999961,-1.61135,1.5156791666666654,1.6449233333333337,1.8104208333333258,-1.6966183333333293,1.939332499999998
15.466666666666667,-1.3864359999998807e-05,-3.307752666666289e-05,-3.690443333333194e-05,-5.7404453333398924e-06,-7.060859999999205e-06,-1.25887e-05,2.1451106666675016e-05,1.1078043999988075e-06,0.5997481094525698,1.1964105472636788,1.8921765174129386,-1.7255929850746299,1.2563528855721355,1.7803223880597037,-1.936691144278605,1.1021288557213953,2.0108652736318393,1.7333864676616912,1.1097111940298519,-2.0096823383084566,-1.919170597014926,1.3270005970149261,1.5196423383084567,-1.96729298507463,0.8703909900497545,-1.7637117412935308,-1.5826723383084567,1.4746076119402962,1.770120597014926,-1.9279683084577164,1.8708111442786048,-1.6132576616915435
15.5,-1.6214220000000836e-05,-3.689323999999654e-05,-3.4140540000000954e-05,8.426035999995706e-06,-7.586789999999881e-06,4.263369999999761e-06,7.85534799999833e-06,-1.9134799999997614e-06,-1.9504470588235248,1.0950129411764753,1.740024705882344,-1.742397647058828,1.0952458823529423,1.9644317647058858,-1.7286529411764633,1.1665705882352948,-0.8390905882349158,0.7601752941172806,1.0933494117647051,2.0279323529411757,-1.859217647058828,1.5495047058823563,1.4850517647058858,2.00281588235293,1.4092229411764754,-2.025802941176472,-1.5215447058823526,1.2521188235294103,1.726042352941172,1.9826782352941192,1.63623117647059,-1.6935794117647052
15.533333333333333,-9.925489333332937e-06,-3.90865200000004e-05,-2.7829379999997615e-05,1.0887819999994434e-05,-2.7863000000011925e-06,-2.4058386666626912e-06,-1.2532746666667661e-05,-5.650920666667661e-06,-1.8265997512437748,1.0499085572139328,1.5781028855721342,-1.9511002487562257,1.2058502487562255,1.9688528855721343,-1.6313951741293478,1.1313908457711463,-1.1230955721397313,-1.7851514427860675,1.0607254228855734,-2.0520462686567194,-2.002689154228854,1.5196222885572135,1.4690968656716406,-1.9334865174129445,1.287340248756225,-1.6202936318408103,-1.5152514427860675,1.2368148258706522,1.6433416915422923,-1.993612039800988,1.562289651741305,-1.0775588059705612
15.566666666666666,-1.1861350000000166e-05,-2.5624950000000165e-05,-6.21041833333234e-06,3.1760800000002205e-05,-1.566591666666501e-06,-7.161567222222388e-06,-9.157107222222775e-06,-9.856484999999973e-06,-1.8575377941176494,1.0983671568627456,1.663263921568625,-1.836367107843136,0.8807148578431391,2.0355960294117654,-1.937193921568625,0.9418319362745113,1.9580336274509778,-1.3527460294119846,0.9223810147058837,-1.916362499999998,1.9286861274509757,1.57913,1.4791097058823528,-1.2813206862745292,1.0817993627450961,1.572509558823551,-1.7641184803921455,0.8397597549019551,1.940871764705884,-1.6457109803921781,0.5437527892157173,-1.93814504901964
15.6,-2.0444079999999524e-05,-2.9306460000001432e-05,-3.6356159999999044e-05,-4.129089999999046e-06,-3.3569800000477056e-08,-7.687491999992367e-06,-4.431220000002147e-06,-4.19623e-06,-1.8186625373134337,1.0518846417910437,1.91870985074627,1.9936289552238806,1.0499052238805975,1.6957705970149248,-1.7444065671641766,1.1149646268656728,-1.9101126865671638,1.7408594029850752,1.0571231343283585,1.8842595522388053,-1.8899094029850754,1.1605384179104448,-2.0372144776119376,-1.9764356716417872,1.3288856716417923,1.3816153731343224,1.9106588059701506,0.8665832238805958,1.8258804477611947,1.5690205970149196,0.20178016417911004,-1.6167034328358285
15.633333333333333,-1.0070953333333334e-05,-3.043666666666667e-05,-3.32901e-05,-2.4617866666666667e-05,-3.1891366666666665e-06,4.7557300000000005e-06,-1.9078866666666664e-05,3.18914e-06,2.029510294117646,0.7490815490196077,-1.975489411764708,1.9994623529411781,1.0751849019607838,1.4856802941176461,-1.3784997058823538,1.1676378431372543,-1.70803,1.81798480392157,0.8042937450980375,1.7799478431372542,-1.5102088235294016,0.7126290490196073,-1.635842450980373,1.9615498039215489,1.6461105882352876,0.7563092843137388,1.5969808823529335,1.2096238235294179,1.9463021568627459,1.614081176470364,0.09814287254901652,-1.7470181372548956
15.666666666666666,-1.2029200000003578e-05,-3.570713999999857e-05,-3.637853999999857e-05,-2.85344e-06,-9.947869333334765e-06,-8.963150000002147e-06,-4.352889333338343e-06,-9.533839999998927e-06,-1.9625309803921613,0.7087580392156848,-1.9897831372549004,2.046340980392156,0.9947730392156847,1.5186209803921562,-1.5897092156862647,1.0439029411764742,-1.6762839215686305,2.001319999999995,0.8011740784313695,1.7199619607843128,-1.725257450980373,1.1404265686274273,-0.6290599019607884,-1.6168792156863105,1.106940980392151,1.452510588235309,1.7441350980391621,1.1021986274509963,1.9391507843137354,1.8515499999994902,0.44406986274510424,-1.2675956862745272
15.7,-1.76242e-05,-3.10521e-05,-3.37377e-05,3.52483e-06,3.69268e-06,-2.51774e-06,-5.53902e-06,1.51064e-06,1.9737882089552286,0.7730284626865714,-1.9673529850746287,-1.8787329850746286,1.1658247761194003,1.4764944776119429,-1.7575729850746282,1.06349,-1.6519400000000004,1.9772167164179144,0.7885402686567199,1.6695537313432858,-2.0575985074626857,1.0885622388059712,-0.6017320000000252,1.5671644776116065,1.1661826865671712,1.1839828358208857,-1.6240961194029717,1.3442777611940284,-1.699380149253379,-2.0032458208955144,0.566077402985077,-1.6170047761194002
